,time,TD,N,CH
448,4.48000,13.35615,8.95078,3.49696
449,4.49000,13.36062,8.96316,3.49591
450,4.50000,13.36511,8.97553,3.49486
451,4.51000,13.36960,8.98790,3.49382
452,4.52000,13.37410,9.00027,3.49277
453,4.53000,13.37860,9.01263,3.49172
454,4.54000,13.38311,9.02500,3.49067
455,4.55000,13.38763,9.03736,3.48963
456,4.56000,13.39215,9.04971,3.48858
457,4.57000,13.39668,9.06207,3.48753
458,4.58000,13.40121,9.07442,3.48649
459,4.59000,13.40575,9.08677,3.48544
460,4.60000,13.41030,9.09911,3.48439
461,4.61000,13.41485,9.11146,3.48335
462,4.62000,13.41941,9.12380,3.48230
463,4.63000,13.42397,9.13614,3.48126
464,4.64000,13.42854,9.14847,3.48022
465,4.65000,13.43312,9.16081,3.47917
466,4.66000,13.43770,9.17314,3.47813
467,4.67000,13.44229,9.18547,3.47709
468,4.68000,13.44689,9.19779,3.47604
469,4.69000,13.45149,9.21011,3.47500
470,4.70000,13.45610,9.22243,3.47396
471,4.71000,13.46071,9.23475,3.47292
472,4.72000,13.46533,9.24707,3.47187
473,4.73000,13.46996,9.25938,3.47083
474,4.74000,13.47459,9.27169,3.46979
475,4.75000,13.47923,9.28400,3.46875
476,4.76000,13.48388,9.29630,3.46771
477,4.77000,13.48853,9.30860,3.46667
478,4.78000,13.49319,9.32090,3.46563
479,4.79000,13.49785,9.33320,3.46459
480,4.80000,13.50252,9.34549,3.46355
481,4.81000,13.50720,9.35779,3.46251
482,4.82000,13.51188,9.37008,3.46147
483,4.83000,13.51657,9.38236,3.46044
484,4.84000,13.52126,9.39465,3.45940
485,4.85000,13.52596,9.40693,3.45836
486,4.86000,13.53067,9.41921,3.45732
487,4.87000,13.53538,9.43149,3.45629
488,4.88000,13.54010,9.44376,3.45525
489,4.89000,13.54482,9.45603,3.45421
490,4.90000,13.54955,9.46830,3.45318
491,4.91000,13.55429,9.48057,3.45214
492,4.92000,13.55904,9.49284,3.45110
493,4.93000,13.56378,9.50510,3.45007
494,4.94000,13.56854,9.51736,3.44903
495,4.95000,13.57330,9.52962,3.44800
496,4.96000,13.57807,9.54187,3.44697
497,4.97000,13.58284,9.55412,3.44593
498,4.98000,13.58762,9.56637,3.44490
499,4.99000,13.59241,9.57862,3.44386
500,5.00000,13.59720,9.59087,3.44283
501,5.01000,13.60200,9.60311,3.44180
502,5.02000,13.60681,9.61535,3.44077
503,5.03000,13.61162,9.62759,3.43973
504,5.04000,13.61643,9.63983,3.43870
505,5.05000,13.62126,9.65206,3.43767
506,5.06000,13.62609,9.66429,3.43664
507,5.07000,13.63092,9.67652,3.43561
508,5.08000,13.63576,9.68875,3.43458
509,5.09000,13.64061,9.70098,3.43355
510,5.10000,13.64546,9.71320,3.43252
511,5.11000,13.65032,9.72542,3.43149
512,5.12000,13.65519,9.73764,3.43046
513,5.13000,13.66006,9.74985,3.42943
514,5.14000,13.66494,9.76207,3.42840
515,5.15000,13.66982,9.77428,3.42737
516,5.16000,13.67471,9.78649,3.42635
517,5.17000,13.67961,9.79869,3.42532
518,5.18000,13.68451,9.81090,3.42429
519,5.19000,13.68942,9.82310,3.42326
520,5.20000,13.69433,9.83530,3.42224
521,5.21000,13.69925,9.84750,3.42121
522,5.22000,13.70418,9.85969,3.42018
523,5.23000,13.70911,9.87189,3.41916
524,5.24000,13.71405,9.88408,3.41813
525,5.25000,13.71900,9.89627,3.41711
526,5.26000,13.72395,9.90845,3.41608
527,5.27000,13.72891,9.92064,3.41506
528,5.28000,13.73387,9.93282,3.41403
529,5.29000,13.73884,9.94500,3.41301
530,5.30000,13.74382,9.95718,3.41199
531,5.31000,13.74880,9.96935,3.41096
532,5.32000,13.75378,9.98153,3.40994
533,5.33000,13.75878,9.99370,3.40892
534,5.34000,13.76378,10.00587,3.40789
535,5.35000,13.76878,10.01804,3.40687
536,5.36000,13.77380,10.03020,3.40585
537,5.37000,13.77881,10.04237,3.40483
538,5.38000,13.78384,10.05453,3.40381
539,5.39000,13.78887,10.06669,3.40279
540,5.40000,13.79391,10.07885,3.40176
541,5.41000,13.79895,10.09100,3.40074
542,5.42000,13.80400,10.10315,3.39972
543,5.43000,13.80905,10.11530,3.39870
544,5.44000,13.81411,10.12745,3.39769
545,5.45000,13.81918,10.13960,3.39667
546,5.46000,13.82425,10.15175,3.39565
547,5.47000,13.82933,10.16389,3.39463
548,5.48000,13.83442,10.17603,3.39361
549,5.49000,13.83951,10.18817,3.39259
550,5.50000,13.84460,10.20031,3.39157
551,5.51000,13.84971,10.21244,3.39056
552,5.52000,13.85482,10.22457,3.38954
553,5.53000,13.85993,10.23671,3.38852
554,5.54000,13.86505,10.24883,3.38751
555,5.55000,13.87018,10.26096,3.38649
556,5.56000,13.87531,10.27309,3.38548
557,5.57000,13.88045,10.28521,3.38446
558,5.58000,13.88560,10.29733,3.38344
559,5.59000,13.89075,10.30945,3.38243
560,5.60000,13.89591,10.32157,3.38142
561,5.61000,13.90107,10.33368,3.38040
562,5.62000,13.90624,10.34580,3.37939
563,5.63000,13.91142,10.35791,3.37837
564,5.64000,13.91660,10.37002,3.37736
565,5.65000,13.92179,10.38213,3.37635
566,5.66000,13.92698,10.39423,3.37533
567,5.67000,13.93218,10.40634,3.37432
568,5.68000,13.93739,10.41844,3.37331
569,5.69000,13.94260,10.43054,3.37230
570,5.70000,13.94782,10.44264,3.37129
571,5.71000,13.95304,10.45474,3.37028
572,5.72000,13.95827,10.46683,3.36926
573,5.73000,13.96351,10.47892,3.36825
574,5.74000,13.96875,10.49102,3.36724
575,5.75000,13.97400,10.50311,3.36623
576,5.76000,13.97926,10.51519,3.36522
577,5.77000,13.98452,10.52728,3.36421
578,5.78000,13.98978,10.53936,3.36320
579,5.79000,13.99506,10.55145,3.36220
580,5.80000,14.00033,10.56353,3.36119
581,5.81000,14.00562,10.57561,3.36018
